H     1 8.2e-05
He    2 0.000164
Li    3 0.534
Be    4 1.85
B     5 2.34
C     6 2.2
N     7 0.001145
O     8 0.0013080000000000001
F     9 0.001553
Ne   10 0.000825
Na   11 0.97
Mg   12 1.74
Al   13 2.7
Si   14 2.3296
P    15 1.823
S    16 2.07
Cl   17 0.002898
Ar   18 0.001633
K    19 0.89
Ca   20 1.54
Sc   21 2.99
Ti   22 4.506
V    23 6.0
Cr   24 7.15
Mn   25 7.3
Fe   26 7.87
Co   27 8.86
Ni   28 8.9
Cu   29 8.96
Zn   30 7.134
Ga   31 5.91
Ge   32 5.3234
As   33 5.75
Se   34 4.809
Br   35 3.1028
Kr   36 0.0034249999999999997
Rb   37 1.53
Sr   38 2.64
Y    39 4.47
Zr   40 6.52
Nb   41 8.57
Mo   42 10.2
Tc   43 11.0
Ru   44 12.1
Rh   45 12.4
Pd   46 12.0
Ag   47 10.5
Cd   48 8.69
In   49 7.31
Sn   50 7.287
Sb   51 6.68
Te   52 6.232
I    53 4.933
Xe   54 0.005365999999999999
Cs   55 1.873
Ba   56 3.62
La   57 6.15
Ce   58 6.77
Pr   59 6.773
Nd   60 7.01
Pm   61 7.26
Sm   62 7.52
Eu   63 5.24
Gd   64 7.9
Tb   65 8.23
Dy   66 8.55
Ho   67 8.8
Er   68 9.07
Tm   69 9.321
Yb   70 6.9
Lu   71 9.84
Hf   72 13.3
Ta   73 16.4
W    74 19.3
Re   75 20.8
Os   76 22.5872
Ir   77 22.5622
Pt   78 21.5
Au   79 19.3
Hg   80 13.5336
Tl   81 11.8
Pb   82 11.3
Bi   83 9.79
Po   84 9.2
At   85 7.0
Rn   86 0.009074
Fr   87 1.87
Ra   88 5.0
Ac   89 10.0
Th   90 11.7
Pa   91 15.4
